"Relation
ID ",Domain ,"ID of
domain ",Name ,"ID of
range ",Range ,"Inverse relation ID
and name"
"RiC-
R009i ",Thing ,RiC-E01 ,follows in time ,RiC-E01 ,Thing ,"RiC-R009 precedes in
time"
"RiC-
R008i ",Thing ,RiC-E01 ,follows or followed ,RiC-E01 ,Thing ,"RiC-R008 precedes or
preceded"
RiC-R002 ,Thing ,RiC-E01 ,has or had part ,RiC-E01 ,Thing ,"RiC-R002i is or was
part of"
"RiC-
R002i ",Thing ,RiC-E01 ,is or was part of ,RiC-E01 ,Thing ,"RiC-R002 has or had
part"
RiC-R001 ,Thing ,RiC-E01 ,is related to ,RiC-E01 ,Thing ,RiC-R001 is related to
RiC-R009 ,Thing ,RiC-E01 ,precedes in time ,RiC-E01 ,Thing ,"RiC-R009i follows in
time"
RiC-R008 ,Thing ,RiC-E01 ,"precedes or
preceded ",RiC-E01 ,Thing ,"RiC-R008i follows or
followed"
"RiC-
R021i ",Thing ,RiC-E01 ,"is or was described
by ",RiC-E02 ,"Record
Resource","RiC-R021 describes or
described"
"RiC-
R020i ",Thing ,RiC-E01 ,"is or was main
subject of ",RiC-E02 ,"Record
Resource","RiC-R020 has or had
main subject"
"RiC-
R019i ",Thing ,RiC-E01 ,is or was subject of ,RiC-E02 ,"Record
Resource","RiC-R019 has or had
subject"
"RiC-
R036i ",Thing ,RiC-E01 ,"is or was under
authority of ",RiC-E07 ,Agent ,"RiC-R036 has or had
authority over"
"RiC-
R037i ",Thing ,RiC-E01 ,has or had owner,"RiC-E08;
RiC-E09;
RiC-E12","Person;
Group;
Position","RiC-R037 is or was
owner of"
"RiC-
R057i ",Thing ,RiC-E01 ,"is associated with
event",RiC-E14 ,Event ,"RiC-R057 is event
associated with"
"RiC-
R059i ",Thing ,RiC-E01 ,"is or was affected
by ",RiC-E14 ,Event ,"RiC-R059 affects or
affected"
"RiC-
R058i ",Thing ,RiC-E01 ,"is or was
participant in ",RiC-E14 ,Event ,"RiC-R058 has or had
participant"
"RiC-
R061i ",Thing ,RiC-E01 ,"results or resulted
from ",RiC-E14 ,Event ,"RiC-R061 results or
resulted in"
"RiC-
R062i ",Thing ,RiC-E01 ,"is associated with
rule ",RiC-E16 ,Rule ,"RiC-R062 is rule
associated with"
"RiC-
R063i ",Thing ,RiC-E01 ,"is or was regulated
by ",RiC-E16 ,Rule ,"RiC-R063 regulates or
regulated"
"RiC-
R069i ",Thing ,RiC-E01 ,has beginning date ,RiC-E18 ,Date ,"RiC-R069 is beginning
date of"
"RiC-
R071i ",Thing ,RiC-E01 ,has end date ,RiC-E18 ,Date ,"RiC-R071 is end date
of"
"RiC-
R073i ",Thing ,RiC-E01 ,"has modification
date ",RiC-E18 ,Date ,"RiC-R073 is
modification date of"
"RiC-
R068i ",Thing ,RiC-E01 ,"is associated with
date ",RiC-E18 ,Date ,"RiC-R068 is date
associated with"
"RiC-
R075i ",Thing ,RiC-E01 ,has or had location ,RiC-E22 ,Place ,"RiC-R075 is or was
location of"
"RiC-
R074i ",Thing ,RiC-E01 ,"is associated with
place ",RiC-E22 ,Place ,"RiC-R074 is place
associated with"
RiC-R021 ,"Record
Resource ",RiC-E02 ,"describes or
described ",RiC-E01 ,Thing ,"RiC-R021i is or was
described by"
RiC-R020 ,"Record
Resource ",RiC-E02 ,"has or had main
subject ",RiC-E01 ,Thing ,"RiC-R020i is or was
main subject of"
RiC-R019 ,"Record
Resource ",RiC-E02 ,has or had subject ,RiC-E01 ,Thing ,"RiC-R019i is or was
subject of"
RiC-R012 ,"Record
Resource ",RiC-E02 ,has copy ,RiC-E02 ,"Record
Resource ",RiC-R012i is copy of
RiC-R023 ,"Record
Resource ",RiC-E02 ,"has genetic link to
record resource ",RiC-E02 ,"Record
Resource","RiC-R023 has genetic
link to record
resource"
RiC-R013 ,"Record
Resource ",RiC-E02 ,has reply ,RiC-E02 ,"Record
Resource ",RiC-R013i is reply to
"RiC-
R012i","Record
Resource ",RiC-E02 ,is copy of ,RiC-E02 ,"Record
Resource ",RiC-R012 has copy
RiC-R022 ,"Record
Resource ",RiC-E02,"is record resource
associated with
record resource",RiC-E02 ,"Record
Resource","RiC-R022 is record
resource associated
with record resource"
"RiC-
R013i","Record
Resource ",RiC-E02 ,is reply to ,RiC-E02 ,"Record
Resource ",RiC-R013 has reply
RiC-R025 ,"Record
Resource ",RiC-E02 ,"has or had
instantiation ",RiC-E06 ,Instantiation ,"RiC-R025i is or was
instantiation of"
"RiC-
R064i","Record
Resource ",RiC-E02 ,"expresses or
expressed ",RiC-E16 ,Rule ,"RiC-R064 is or was
expressed by"
RiC-R028,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has accumulator ,RiC-E07 ,Agent ,"RiC-R028i is
accumulator of"
RiC-R032,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has addressee ,RiC-E07 ,Agent ,"RiC-R032i is
addressee of"
RiC-R030,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has collector ,RiC-E07 ,Agent ,"RiC-R030i is collector
of"
RiC-R027,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has creator ,RiC-E07 ,Agent ,"RiC-R027i is creator
of"
"RiC-
R039i","Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has or had holder ,RiC-E07 ,Agent ,"RiC-R039 is or was
holder of"
"RiC-
R038i","Record
Resource;
Instantiation","RiC-E02;
RiC-E06","has or had
manager",RiC-E07 ,Agent ,"RiC-R038 is or was
manager of"
RiC-R026,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has provenance ,RiC-E07 ,Agent ,"RiC-R026i is
provenance of"
RiC-R029,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has receiver ,RiC-E07 ,Agent ,"RiC-R029i is receiver
of"
RiC-R031,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",has sender ,RiC-E07 ,Agent ,RiC-R031i is sender of
"RiC-
R040i","Record
Resource;
Instantiation","RiC-E02;
RiC-E06","has or had
intellectual
property rights
holder","RiC-E08;
RiC-E09;
RiC-E12",Agent,"RiC-R040 is or was
holder of intellectual
property rights of"
RiC-R033,"Record
Resource;
Instantiation","RiC-E02;
RiC-E06 ",documents ,RiC-E15 ,Activity ,"RiC-R033i
documented by"
RiC-R024 ,Record Set ,RiC-E03 ,"includes or
included","RiC-E03;
RiC-E04","Record Set;
Record","RiC-R024i is or was
included in"
"RiC-
R024i","Record Set;
Record","RiC-E03;
RiC-E04","is or was included
in ",RiC-E03 ,Record Set ,"RiC-R024 includes or
included"
"RiC-
R011i ",Record ,RiC-E04 ,has draft ,RiC-E04 ,Record ,RiC-R011 is draft of
"RiC-
R010i ",Record ,RiC-E04 ,has original ,RiC-E04 ,Record ,RiC-R010 is original of
RiC-R011 ,Record ,RiC-E04 ,is draft of ,RiC-E04 ,Record ,RiC-R011i has draft
RiC-R010 ,Record ,RiC-E04 ,is original of ,RiC-E04 ,Record ,RiC-R010i has original
RiC-R003 ,Record ,RiC-E04 ,"has or had
constituent ",RiC-E05 ,Record Part ,"RiC-R003i is or was
constituent of"
RiC-R079 ,Record ,RiC-E04 ,has author,"RiC-E08;
RiC-E09;
RiC-E012","Person;
Group;
Position",RiC-R079i is author of
"RiC-
R003i ",Record Part ,RiC-E05 ,"is or was
constituent of ",RiC-E04 ,Record ,"RiC-R003 has or had
constituent"
"RiC-
R025i ",Instantiation ,RiC-E06 ,"Is or was
instantiation of ",RiC-E02 ,"Record
Resource","RiC-R025 has or had
instantiation"
RiC-R014 ,Instantiation ,RiC-E06 ,"has or had derived
instantiation ",RiC-E06 ,Instantiation,"RiC-R014i is or was
derived from
instantiation"
RiC-R004 ,Instantiation ,RiC-E06 ,"has or had
component",RiC-E06 ,Instantiation ,"RiC-R004i is or was
component of"
"RiC-
R014i ",Instantiation ,RiC-E06 ,"is or was derived
from instantiation ",RiC-E06 ,Instantiation ,"RiC-R014 has or had
derived instantiation"
RiC-R035 ,Instantiation ,RiC-E06 ,"is functionally
equivalent to ",RiC-E06 ,Instantiation,"RiC-R035 is
functionally
equivalent to"
RiC-R034 ,Instantiation ,RiC-E06,"is instantiation
associated with
instantiation",RiC-E06 ,Instantiation,"RiC-R034 is
instantiation
associated with
instantiation"
"RiC-
R004i ",Instantiation ,RiC-E06 ,"is or was
component of ",RiC-E06 ,Instantiation ,"RiC-R004 has or had
component"
"RiC-
R015i ",Instantiation ,RiC-E06 ,migrated from ,RiC-E06 ,Instantiation ,"RiC-R015 migrated
into"
RiC-R015 ,Instantiation ,RiC-E06 ,migrated into ,RiC-E06 ,Instantiation ,"RiC-R015i migrated
from"
RiC-R036 ,Agent ,RiC-E07 ,"has or had
authority over ",RiC-E01 ,Thing ,"RiC-R036i is or was
under authority of"
"RiC-
R028i ",Agent ,RiC-E07 ,is accumulator of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R028 has
accumulator"
"RiC-
R032i ",Agent ,RiC-E07 ,is addressee of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R032 has
addressee"
"RiC-
R030i ",Agent ,RiC-E07 ,is collector of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R030 has
collector"
"RiC-
R027i ",Agent ,RiC-E07 ,is creator of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation",RiC-R027 has creator
RiC-R039 ,Agent ,RiC-E07 ,is or was holder of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R039i has or had
holder"
RiC-R038 ,Agent ,RiC-E07 ,"is or was manager
of","RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R038i has or had
manager"
"RiC-
R026i ",Agent ,RiC-E07 ,is provenance of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R026 has
provenance"
"RiC-
R029i ",Agent ,RiC-E07 ,is receiver of ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation",RiC-R029 has receiver
